Tool,Category,Patch,GitHubLink,ChangeType,CodeLine,RequireType
sguardplus,reentrancy,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b/0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.diff,added,require(!__lock_modifier0_lock);,modifier
sguardplus,reentrancy,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888/0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.diff,added,require(!__lock_modifier0_lock);,modifier
sguardplus,reentrancy,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1/0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.diff,added,require(!__lock_modifier0_lock);,modifier
sguardplus,reentrancy,simple_dao,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/simple_dao/simple_dao.diff,added,require(!__lock_modifier0_lock);,modifier
sguardplus,reentrancy,simple_dao,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/simple_dao/simple_dao.diff,added,require(res);,invariant
sguardplus,reentrancy,0x561eac93c92360949ab1f1403323e6db345cbf31,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/0x561eac93c92360949ab1f1403323e6db345cbf31/0x561eac93c92360949ab1f1403323e6db345cbf31.diff,added,require(!__lock_modifier0_lock);,modifier
sguardplus,reentrancy,etherstore,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/etherstore/etherstore.diff,modified,require(balances[msg.sender]>=_weiToWithdraw);,invariant
sguardplus,reentrancy,etherstore,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/etherstore/etherstore.diff,modified,require(_weiToWithdraw<=withdrawalLimit);,invariant
sguardplus,reentrancy,etherstore,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/etherstore/etherstore.diff,modified,require(now>=lastWithdrawTime[msg.sender]+1 weeks);,runtime check
sguardplus,reentrancy,etherstore,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/etherstore/etherstore.diff,modified,require(msg.sender.call.value(_weiToWithdraw)());,runtime check
sguardplus,reentrancy,0x7541b76cb60f4c60af330c208b0623b7f54bf615,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/0x7541b76cb60f4c60af330c208b0623b7f54bf615/0x7541b76cb60f4c60af330c208b0623b7f54bf615.diff,added,require(!__lock_modifier0_lock);,modifier
sguardplus,reentrancy,reentrancy_simple,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/reentrancy_simple/reentrancy_simple.diff,added,require(!__lock_modifier0_lock);,modifier
sguardplus,reentrancy,0x941d225236464a25eb18076df7da6a91d0f95e9e,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/0x941d225236464a25eb18076df7da6a91d0f95e9e/0x941d225236464a25eb18076df7da6a91d0f95e9e.diff,added,require(!__lock_modifier0_lock);,modifier
sguardplus,reentrancy,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e/0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.diff,added,require(!__lock_modifier0_lock);,modifier
sguardplus,reentrancy,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f/0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.diff,added,require(!__lock_modifier0_lock);,modifier
sguardplus,reentrancy,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8/0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.diff,added,require(!__lock_modifier0_lock);,modifier
sguardplus,reentrancy,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/0xcead721ef5b11f1a7b530171aab69b16c5e66b6e/0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.diff,added,require(!__lock_modifier0_lock);,modifier
sguardplus,reentrancy,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3/0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.diff,added,require(!__lock_modifier0_lock);,modifier
sguardplus,reentrancy,0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.diff,added,require(!__lock_modifier0_lock);,modifier
sguardplus,reentrancy,0x7a8721a9d64c74da899424c1b52acbf58ddc9782,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/0x7a8721a9d64c74da899424c1b52acbf58ddc9782/0x7a8721a9d64c74da899424c1b52acbf58ddc9782.diff,modified,require(!__lock_modifier0_lock);,modifier
sguardplus,reentrancy,0x7a8721a9d64c74da899424c1b52acbf58ddc9782,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/0x7a8721a9d64c74da899424c1b52acbf58ddc9782/0x7a8721a9d64c74da899424c1b52acbf58ddc9782.diff,added,require(msg.sender==owner);,modifier
sguardplus,reentrancy,0xf015c35649c82f5467c9c74b7f28ee67665aad68,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/0xf015c35649c82f5467c9c74b7f28ee67665aad68/0xf015c35649c82f5467c9c74b7f28ee67665aad68.diff,added,require(!__lock_modifier0_lock);,modifier
sguardplus,reentrancy,etherbank,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/etherbank/etherbank.diff,added,require(!__lock_modifier0_lock);,modifier
sguardplus,reentrancy,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12/0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.diff,added,require(!__lock_modifier0_lock);,modifier
sguardplus,reentrancy,0x8c7777c45481dba411450c228cb692ac3d550344,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/0x8c7777c45481dba411450c228cb692ac3d550344/0x8c7777c45481dba411450c228cb692ac3d550344.diff,added,require(!__lock_modifier0_lock);,modifier
sguardplus,reentrancy,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/0x4e73b32ed6c35f570686b89848e5f39f20ecc106/0x4e73b32ed6c35f570686b89848e5f39f20ecc106.diff,modified,require(!__lock_modifier0_lock);,modifier
sguardplus,reentrancy,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/0x4e73b32ed6c35f570686b89848e5f39f20ecc106/0x4e73b32ed6c35f570686b89848e5f39f20ecc106.diff,modified,require( ! intitalized);,invariant
sguardplus,reentrancy,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/0x4e73b32ed6c35f570686b89848e5f39f20ecc106/0x4e73b32ed6c35f570686b89848e5f39f20ecc106.diff,added,require( ! intitalized);,invariant
sguardplus,unchecked_low_level_calls,0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859/0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.diff,modified,require(msg.sender==Owner);,invariant
sguardplus,unchecked_low_level_calls,0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859/0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.diff,modified,require(msg.sender==Owner);,invariant
sguardplus,unchecked_low_level_calls,0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859/0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.diff,added,require(__sent_result100);,invariant
sguardplus,unchecked_low_level_calls,0xdb1c55f6926e7d847ddf8678905ad871a68199d2,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0xdb1c55f6926e7d847ddf8678905ad871a68199d2/0xdb1c55f6926e7d847ddf8678905ad871a68199d2.diff,modified,require(msg.sender==Owner);,invariant
sguardplus,unchecked_low_level_calls,0xdb1c55f6926e7d847ddf8678905ad871a68199d2,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0xdb1c55f6926e7d847ddf8678905ad871a68199d2/0xdb1c55f6926e7d847ddf8678905ad871a68199d2.diff,modified,require(msg.sender==Owner);,invariant
sguardplus,unchecked_low_level_calls,0xdb1c55f6926e7d847ddf8678905ad871a68199d2,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0xdb1c55f6926e7d847ddf8678905ad871a68199d2/0xdb1c55f6926e7d847ddf8678905ad871a68199d2.diff,added,require(__sent_result100);,invariant
sguardplus,unchecked_low_level_calls,0xbaa3de6504690efb064420d89e871c27065cdd52,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0xbaa3de6504690efb064420d89e871c27065cdd52/0xbaa3de6504690efb064420d89e871c27065cdd52.diff,added,require(__sent_result100);,invariant
sguardplus,unchecked_low_level_calls,0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37/0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37.diff,modified,require(msg.sender==Owner);,invariant
sguardplus,unchecked_low_level_calls,0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37/0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37.diff,modified,require(msg.sender==Owner);,invariant
sguardplus,unchecked_low_level_calls,0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37/0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37.diff,added,require(__sent_result100);,invariant
sguardplus,unchecked_low_level_calls,0x610495793564aed0f9c7fc48dc4c7c9151d34fd6,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0x610495793564aed0f9c7fc48dc4c7c9151d34fd6/0x610495793564aed0f9c7fc48dc4c7c9151d34fd6.diff,modified,require(msg.sender==owner);,invariant
sguardplus,unchecked_low_level_calls,0x610495793564aed0f9c7fc48dc4c7c9151d34fd6,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0x610495793564aed0f9c7fc48dc4c7c9151d34fd6/0x610495793564aed0f9c7fc48dc4c7c9151d34fd6.diff,added,require(__sent_result100);,invariant
sguardplus,unchecked_low_level_calls,mishandled,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/mishandled/mishandled.diff,added,require(__sent_result100);,invariant
sguardplus,unchecked_low_level_calls,unchecked_return_value,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/unchecked_return_value/unchecked_return_value.diff,modified,require(callee.call());,invariant
sguardplus,unchecked_low_level_calls,unchecked_return_value,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/unchecked_return_value/unchecked_return_value.diff,added,require(__sent_result100);,invariant
sguardplus,unchecked_low_level_calls,0x806a6bd219f162442d992bdc4ee6eba1f2c5a707,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0x806a6bd219f162442d992bdc4ee6eba1f2c5a707/0x806a6bd219f162442d992bdc4ee6eba1f2c5a707.diff,modified,require(msg.sender==Owner);,invariant
sguardplus,unchecked_low_level_calls,0x806a6bd219f162442d992bdc4ee6eba1f2c5a707,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0x806a6bd219f162442d992bdc4ee6eba1f2c5a707/0x806a6bd219f162442d992bdc4ee6eba1f2c5a707.diff,modified,require(msg.sender==Owner);,invariant
sguardplus,unchecked_low_level_calls,0x806a6bd219f162442d992bdc4ee6eba1f2c5a707,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0x806a6bd219f162442d992bdc4ee6eba1f2c5a707/0x806a6bd219f162442d992bdc4ee6eba1f2c5a707.diff,added,require(__sent_result100);,invariant
sguardplus,unchecked_low_level_calls,0xbebbfe5b549f5db6e6c78ca97cac19d1fb03082c,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0xbebbfe5b549f5db6e6c78ca97cac19d1fb03082c/0xbebbfe5b549f5db6e6c78ca97cac19d1fb03082c.diff,added,require(__sent_result100);,invariant
sguardplus,unchecked_low_level_calls,0xe82f0742a71a02b9e9ffc142fdcb6eb1ed06fb87,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0xe82f0742a71a02b9e9ffc142fdcb6eb1ed06fb87/0xe82f0742a71a02b9e9ffc142fdcb6eb1ed06fb87.diff,modified,require(msg.sender==Owner);,invariant
sguardplus,unchecked_low_level_calls,0xe82f0742a71a02b9e9ffc142fdcb6eb1ed06fb87,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0xe82f0742a71a02b9e9ffc142fdcb6eb1ed06fb87/0xe82f0742a71a02b9e9ffc142fdcb6eb1ed06fb87.diff,modified,require(msg.sender==Owner);,invariant
sguardplus,unchecked_low_level_calls,0xe82f0742a71a02b9e9ffc142fdcb6eb1ed06fb87,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0xe82f0742a71a02b9e9ffc142fdcb6eb1ed06fb87/0xe82f0742a71a02b9e9ffc142fdcb6eb1ed06fb87.diff,added,require(__sent_result100);,invariant
sguardplus,unchecked_low_level_calls,0x958a8f594101d2c0485a52319f29b2647f2ebc06,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0x958a8f594101d2c0485a52319f29b2647f2ebc06/0x958a8f594101d2c0485a52319f29b2647f2ebc06.diff,modified,require(msg.sender==owner);,modifier
sguardplus,unchecked_low_level_calls,0x958a8f594101d2c0485a52319f29b2647f2ebc06,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0x958a8f594101d2c0485a52319f29b2647f2ebc06/0x958a8f594101d2c0485a52319f29b2647f2ebc06.diff,modified,require(__sent_result100);,invariant
sguardplus,unchecked_low_level_calls,0x958a8f594101d2c0485a52319f29b2647f2ebc06,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0x958a8f594101d2c0485a52319f29b2647f2ebc06/0x958a8f594101d2c0485a52319f29b2647f2ebc06.diff,modified,"require(sha3(marriageStatus)==sha3(""Married""));",invariant
sguardplus,unchecked_low_level_calls,0x958a8f594101d2c0485a52319f29b2647f2ebc06,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0x958a8f594101d2c0485a52319f29b2647f2ebc06/0x958a8f594101d2c0485a52319f29b2647f2ebc06.diff,added,require(majorEvents.length==0);,invariant
sguardplus,unchecked_low_level_calls,0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf/0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf.diff,modified,require(msg.sender==Owner);,invariant
sguardplus,unchecked_low_level_calls,0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf/0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf.diff,modified,require(msg.sender==Owner);,invariant
sguardplus,unchecked_low_level_calls,0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf/0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf.diff,added,require(__sent_result100);,invariant
sguardplus,unchecked_low_level_calls,0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7/0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7.diff,added,require(!__lock_modifier0_lock);,modifier
sguardplus,unchecked_low_level_calls,0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7/0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7.diff,added,require(__sent_result100);,invariant
sguardplus,unchecked_low_level_calls,0xf29ebe930a539a60279ace72c707cba851a57707,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0xf29ebe930a539a60279ace72c707cba851a57707/0xf29ebe930a539a60279ace72c707cba851a57707.diff,added,require(__sent_result100);,invariant
sguardplus,unchecked_low_level_calls,0x84d9ec85c9c568eb332b7226a8f826d897e0a4a8,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0x84d9ec85c9c568eb332b7226a8f826d897e0a4a8/0x84d9ec85c9c568eb332b7226a8f826d897e0a4a8.diff,modified,require(msg.sender==owner);,modifier
sguardplus,unchecked_low_level_calls,0x84d9ec85c9c568eb332b7226a8f826d897e0a4a8,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0x84d9ec85c9c568eb332b7226a8f826d897e0a4a8/0x84d9ec85c9c568eb332b7226a8f826d897e0a4a8.diff,added,require(__sent_result100);,invariant
sguardplus,unchecked_low_level_calls,0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2/0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.diff,modified,require(msg.sender==Owner);,invariant
sguardplus,unchecked_low_level_calls,0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2/0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.diff,modified,require(msg.sender==Owner);,invariant
sguardplus,unchecked_low_level_calls,0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2/0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.diff,added,require(__sent_result100);,invariant
sguardplus,unchecked_low_level_calls,0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9/0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.diff,added,require(__sent_result100);,invariant
sguardplus,unchecked_low_level_calls,0x7a4349a749e59a5736efb7826ee3496a2dfd5489,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0x7a4349a749e59a5736efb7826ee3496a2dfd5489/0x7a4349a749e59a5736efb7826ee3496a2dfd5489.diff,modified,require(msg.sender==Owner);,invariant
sguardplus,unchecked_low_level_calls,0x7a4349a749e59a5736efb7826ee3496a2dfd5489,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0x7a4349a749e59a5736efb7826ee3496a2dfd5489/0x7a4349a749e59a5736efb7826ee3496a2dfd5489.diff,modified,require(msg.sender==Owner);,invariant
sguardplus,unchecked_low_level_calls,0x7a4349a749e59a5736efb7826ee3496a2dfd5489,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0x7a4349a749e59a5736efb7826ee3496a2dfd5489/0x7a4349a749e59a5736efb7826ee3496a2dfd5489.diff,added,require(__sent_result100);,invariant
sguardplus,unchecked_low_level_calls,0xd2018bfaa266a9ec0a1a84b061640faa009def76,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0xd2018bfaa266a9ec0a1a84b061640faa009def76/0xd2018bfaa266a9ec0a1a84b061640faa009def76.diff,modified,require(msg.sender==Owner);,invariant
sguardplus,unchecked_low_level_calls,0xd2018bfaa266a9ec0a1a84b061640faa009def76,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0xd2018bfaa266a9ec0a1a84b061640faa009def76/0xd2018bfaa266a9ec0a1a84b061640faa009def76.diff,modified,require(msg.sender==Owner);,invariant
sguardplus,unchecked_low_level_calls,0xd2018bfaa266a9ec0a1a84b061640faa009def76,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/0xd2018bfaa266a9ec0a1a84b061640faa009def76/0xd2018bfaa266a9ec0a1a84b061640faa009def76.diff,added,require(__sent_result100);,invariant
sguardplus,unchecked_low_level_calls,lotto,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/unchecked_low_level_calls/lotto/lotto.diff,modified,require( ! payedOut);,invariant
